Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
5/31/2012,-0.011690774,0.006507577,0.005870023,-0.007838573,-0.008083804,-0.041516922,-0.001900109,0.008523049,0.001294121,0.05365412,-0.123481802,-0.045577313,0.003448848,-0.023525128,0.008312626
6/6/2012,0.015056835,-0.004432729,-0.002569591,0.003622207,-0.027209382,0.043997743,0.01313883,-0.00161066,-0.004236175,-0.032010875,0.062798636,-0.01737675,0.045039337,-0.00422808,-0.008696342
6/12/2012,-0.004107143,0.012032366,0.012206937,0.006943391,0.011017513,0.005189307,0.008021222,0.000995612,0.007103903,-0.008777674,0.001845261,-0.020003741,-0.012298005,0.002222466,0.00117889
6/18/2012,0.007816064,0.012114224,0.0240147,0.015482449,0.014081653,0.018394767,0.011747405,0.005801631,0.006314484,0.008081413,-0.054143465,-0.000597453,0.008012158,0.003172947,-0.005810461
6/22/2012,-0.005763753,-0.003074399,-0.017778368,-0.007300576,0.002315499,0.027616316,9.71096E-05,0.002900237,0.009621682,-0.040773686,0.064771241,-0.042176152,-0.036716393,-0.028038485,0.00374154
6/28/2012,-0.003306934,-0.006259145,-0.010991598,-0.004473297,-0.018147773,-0.034934799,0.000494334,0.00240164,0.002199238,0.021797266,-0.054873489,-0.025943634,-0.010433654,0.000375686,0.006609134
7/5/2012,0.0132052,0.030139685,0.054846438,0.028973503,0.062593459,0.046672335,0.016597885,0.005805791,0.009732313,-0.035143175,0.009386051,0.122774706,0.038276376,0.042054753,1.46936E-05
7/11/2012,-0.005015201,-0.008799371,-0.023427113,-0.018995982,-0.012547387,-0.017740395,0.006712306,0.008928569,0.002601991,0.025384166,-0.052509218,-0.016295239,-0.021001054,-0.019525985,0.009208867
7/17/2012,0.003878842,0.003742538,0.001600125,0.016558515,0.019238294,-0.014797231,0.015587493,0.008526887,0.001198918,-0.035788933,-0.004533673,0.039636249,0.008872462,0.006609946,-0.006391781
7/23/2012,-0.012276177,-0.018483658,-0.021875125,-0.009670117,-0.024095352,-0.046915327,-0.006402477,0.007318831,0.00159412,0.007065626,-0.046421497,-0.012178168,-0.007567452,-0.02352353,0.008200962
7/27/2012,0.013829969,0.019684144,0.032452243,0.026283936,0.042045462,0.072965345,0.005596376,0.000998008,0.003301187,-0.029266431,0.074317432,0.02258359,0.025915297,0.017257524,-0.011888239
8/2/2012,-0.004496706,-0.001143891,0.003922218,-0.015125859,-0.012450847,-0.027554442,0.011243132,0.000790765,0.005910374,0.015674381,-0.043387933,-0.033277494,-0.018897297,-0.032504102,0.00790957
8/8/2012,0.013233791,0.01505196,0.027514649,0.027168484,0.054422037,0.081143308,0.00519929,-0.004196051,0.005709923,-0.037368126,0.117089285,0.071401882,0.016046246,0.0333144,-0.011605807
8/14/2012,-0.004892324,0.00550284,0.007351216,0.001197369,0.001240088,0.007913153,-0.006785519,-0.001704655,-0.00139999,-0.00764383,0.049722701,0.000857684,-0.008309168,-0.019619373,0.001094531
8/20/2012,-0.001304486,0.001797687,-0.007987677,0.010123405,0.008481767,0.016127546,-0.003798515,-0.009777028,-0.00050201,-0.00606745,0.044505937,0.027218435,0.012947084,0.002144748,-0.00031319
8/24/2012,0.00379239,-0.002509689,-0.003683347,-0.004947895,-0.008894745,0.005400978,0.008423452,0.011546006,0.00250145,0.020030112,-0.067925924,0.001903538,0.030695189,0.038242392,-0.010584376
8/30/2012,-0.007183643,-0.00907053,-0.021532122,-0.008296735,-0.010857825,-0.014208188,0.003804792,0.00169831,0.00210134,0.016283344,-0.034884138,-0.015917267,-0.009675565,-0.017697354,0.001189947
9/6/2012,0.009925743,0.005786369,0.007315006,0.023246505,0.039354585,0.061895905,0.00862544,0.002791222,0.004405723,-0.022289375,0.029529981,0.009681359,0.029721514,0.02610007,-0.007989257
9/12/2012,0.009609114,0.018689724,0.029828732,0.003071049,0.024678369,0.059357169,0.006209918,-0.00060069,0.010741881,-0.010466974,0.048861241,0.015452155,0.016410996,0.050358985,-0.016030641
9/18/2012,0.008179543,0.012428684,0.029170476,0.015879705,0.000564652,0.011340145,-0.00139977,0.001996931,0.007012086,-0.010613136,0.030802221,-0.017742878,0.021790302,0.036411447,-0.006218711
9/24/2012,-0.004899436,-0.003918791,-0.002199191,-0.001601988,0.008873127,-0.009622314,0.000595989,0.005005726,-0.004095111,0.017288399,-0.053520639,-0.035197277,-0.003531956,-0.01786579,0.00338982
9/28/2012,-0.000411038,0.000138807,-0.00150907,-0.011164968,-0.026499694,-0.038254033,0.003702318,0.006013413,-0.006206298,0.00962759,-0.04787356,0.00284847,0.005059753,0.009372263,0.005283372
